os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT,16293816,7.0.11-76070011-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
61.0383,16.3832,41.4075,42,79,51,1040,875,2.1376,47,7.19225,4468596909
59.8215,16.7164,41.4075,42,79,51,1040,875,2.1376,47,7.19225,4568681268
59.5838,16.7831,41.4075,42,79,51,1040,875,2.1376,47,7.19225,4668766046
60.2293,16.6032,41.4075,42,79,51,1040,875,2.1376,47,7.19225,4768845235
60.7345,16.4651,34.0461,41,79,51,1037,875,2.12044,47,7.7923,4868928413
60.2542,16.5964,34.0461,41,79,51,1037,875,2.12044,47,7.7923,4969013672
60.4059,16.5547,34.0461,41,79,51,1037,875,2.12044,47,7.7923,5069098291
60.2397,16.6004,34.0461,41,79,51,1037,875,2.12044,47,7.7923,5169188429
59.4435,16.8227,34.0461,41,79,51,1037,875,2.12044,47,7.7923,5269273438
60.3883,16.5595,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5369358257
60.2874,16.5872,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5469440405
65.7063,15.2192,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5569528904
48.2805,20.7123,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5669633763
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5769765341
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5869960280
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,5970136658
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6070319437
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6170519696
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6270750344
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6370962613
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6471138802
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6571304820
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6671475689
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6771670568
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6871838356
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,6971988705
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7072152714
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7172297592
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7272405701
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7376108631
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7477116650
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7577213948
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7677312487
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7777403076
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7877497374
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,7977606303
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,8077751771
59.6712,16.7585,24.2784,40,78,51,1019,875,2.12044,47,7.76951,8177866690
0.387132,2583.1,83.8774,6,76,50,833,875,2.88997,34,7.63523,8277965669
68.6159,14.5739,83.8774,6,76,50,833,875,2.88997,34,7.63523,8378061177
47.5009,21.0522,83.8774,6,76,50,833,875,2.88997,34,7.63523,8479460066
57.304,17.4508,83.8774,6,76,50,833,875,2.88997,34,7.63523,8579598935
58.1059,17.2099,83.8774,6,76,50,833,875,2.88997,34,7.63523,8679743864
49.1039,20.365,93.5108,51,76,53,1423,875,2.87686,81,7.55157,8779906502
85.5073,11.6949,93.5108,51,76,53,1423,875,2.87686,81,7.55157,8880211741
74.3517,13.4496,93.5108,51,76,53,1423,875,2.87686,81,7.55157,8980400530
61.2787,16.3189,93.5108,51,76,53,1423,875,2.87686,81,7.55157,9080598828
49.4454,20.2243,93.5108,51,76,53,1423,875,2.87686,81,7.55157,9180780747
56.2613,17.7742,99.5025,51,75,53,1423,875,2.87701,81,7.57285,9280955866
70.2082,14.2433,99.5025,51,75,53,1423,875,2.87701,81,7.57285,9381317614
59.4026,16.8343,99.5025,51,75,53,1423,875,2.87701,81,7.57285,9481529343
64.3568,15.5384,99.5025,51,75,53,1423,875,2.87701,81,7.57285,9581728602
66.037,15.143,99.5025,51,75,53,1423,875,2.87701,81,7.57285,9681890070
70.389,14.2068,99.005,54,75,54,1454,875,2.87709,83,7.57657,9782217949
61.632,16.2253,99.005,54,75,54,1454,875,2.87709,83,7.57657,9882474558
61.8267,16.1742,99.005,54,75,54,1454,875,2.87709,83,7.57657,9982779267
75.495,13.2459,99.005,54,75,54,1454,875,2.87709,83,7.57657,10082969715
50.378,19.8499,99.005,54,75,54,1454,875,2.87709,83,7.57657,10183161614
58.5427,17.0816,93.719,61,75,55,1618,875,2.87709,97,7.58029,10283301112
60.4066,16.5545,93.719,61,75,55,1618,875,2.87709,97,7.58029,10383389801
60.5148,16.5249,93.719,61,75,55,1618,875,2.87709,97,7.58029,10483478300
75.1255,13.3111,93.719,61,75,55,1618,875,2.87709,97,7.58029,10583568018
50.3957,19.8429,93.719,61,75,55,1618,875,2.87709,97,7.58029,10683663457
58.3858,17.1274,93.719,61,75,55,1618,875,2.87709,97,7.58029,10783829896
57.203,17.4816,66.388,63,74,55,1659,875,2.87754,108,7.58464,10884021554
62.4656,16.0088,66.388,63,74,55,1659,875,2.87754,108,7.58464,10984141403
63.6237,15.7174,66.388,63,74,55,1659,875,2.87754,108,7.58464,11084294272
76.0901,13.1423,66.388,63,74,55,1659,875,2.87754,108,7.58464,11184466770
55.693,17.9556,66.388,63,74,55,1659,875,2.87754,108,7.58464,11284636579
58.8003,17.0067,99.8339,60,74,54,1608,875,2.87754,107,7.58471,11384825658
83.9017,11.9187,99.8339,60,74,54,1608,875,2.87754,107,7.58471,11485049296
59.6565,16.7626,99.8339,60,74,54,1608,875,2.87754,107,7.58471,11585219615
54.2046,18.4486,99.8339,60,74,54,1608,875,2.87754,107,7.58471,11685342204
43.5034,22.9867,99.8339,60,74,54,1608,875,2.87754,107,7.58471,11785516762
66.7102,14.9902,99.187,59,74,54,1483,875,2.87754,86,7.58493,11885715151
68.117,14.6806,99.187,59,74,54,1483,875,2.87754,86,7.58493,11985915400
63.9707,15.6322,99.187,59,74,54,1483,875,2.87754,86,7.58493,12086080508
59.125,16.9133,99.187,59,74,54,1483,875,2.87754,86,7.58493,12186195727
60.5986,16.502,99.187,59,74,54,1483,875,2.87754,86,7.58493,12286279576
33.871,29.5238,67.6667,56,73,54,1470,875,2.87754,85,7.58787,12386365534
81.3077,12.299,67.6667,56,73,54,1470,875,2.87754,85,7.58787,12486453203
80.8834,12.3635,67.6667,56,73,54,1470,875,2.87754,85,7.58787,12587140322
46.6819,21.4216,67.6667,56,73,54,1470,875,2.87754,85,7.58787,12687241490
65.6465,15.2331,67.6667,56,73,54,1470,875,2.87754,85,7.58787,12788150899
61.5039,16.2591,74.9585,58,73,54,1541,875,2.87754,95,7.63183,12889151458
58.8105,17.0038,74.9585,58,73,54,1541,875,2.87754,95,7.63183,12989270957
55.2533,18.0985,74.9585,58,73,54,1541,875,2.87754,95,7.63183,13089366565
70.5635,14.1716,74.9585,58,73,54,1541,875,2.87754,95,7.63183,13189468694
63.4938,15.7496,74.9585,58,73,54,1541,875,2.87754,95,7.63183,13289556893
63.5694,15.7308,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13389648841
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13489902510
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13590106189
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13690255667
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13790442526
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13890621435
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,13990820643
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,14091011772
47.0002,21.2765,82.9822,57,73,54,1508,875,2.87754,89,7.72472,14191167171
49.6633,20.1356,99.5261,0,73,51,800,875,2.87754,34,7.73257,14291313339
62.3667,16.0342,99.5261,0,73,51,800,875,2.87754,34,7.73257,14391485568
63.6953,15.6997,99.5261,0,73,51,800,875,2.87754,34,7.73257,14492713747
52.6122,19.007,99.5261,0,73,51,800,875,2.87754,34,7.73257,14592862835
77.1517,12.9615,99.5261,0,73,51,800,875,2.87754,34,7.73257,14693030914
62.4288,16.0183,99.6795,43,73,53,1314,875,2.87754,71,7.73639,14794428553
50.1636,19.9348,99.6795,43,73,53,1314,875,2.87754,71,7.73639,14894601502
57.9471,17.2571,99.6795,43,73,53,1314,875,2.87754,71,7.73639,14994744870
59.2901,16.8662,99.6795,43,73,53,1314,875,2.87754,71,7.73639,15094838959
65.523,15.2618,99.6795,43,73,53,1314,875,2.87754,71,7.73639,15194934788
59.8603,16.7056,64.0203,57,72,53,1506,875,2.87754,89,7.06818,15295016426
59.3315,16.8545,64.0203,57,72,53,1506,875,2.87754,89,7.06818,15395100845
59.1353,16.9104,64.0203,57,72,53,1506,875,2.87754,89,7.06818,15495148404
61.2173,16.3352,64.0203,57,72,53,1506,875,2.87754,89,7.06818,15595240192
60.5283,16.5212,64.0203,57,72,53,1506,875,2.87754,89,7.06818,15695332241
60.3708,16.5643,16.6667,59,72,53,1520,875,2.87754,84,5.68012,15795416860
58.6284,17.0566,16.6667,59,72,53,1520,875,2.87754,84,5.68012,15895500318
54.4035,18.3812,16.6667,59,72,53,1520,875,2.87754,84,5.68012,15995583847
60.4447,16.5441,16.6667,59,72,53,1520,875,2.87754,84,5.68012,16095681635
59.0348,16.9392,16.6667,59,72,53,1520,875,2.87754,84,5.68012,16195780194
57.2012,17.4821,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16295883483
60.8857,16.4242,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16395995271
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16496102540
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16596163579
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16696320377
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16796512246
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16896672055
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,16996812533
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17096946702
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17197186121
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17297289089
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17397413468
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17498165657
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17598297195
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17708878507
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17810034736
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,17910180905
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18014271164
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18114375613
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18214477472
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18320172882
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18420292361
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18520472359
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18620579198
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18720692256
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18820818965
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,18920922034
59.8032,16.7215,32.7087,59,71,53,1510,875,2.87754,82,6.67985,19021043042
218.071,4.58567,92.3077,2,79,50,809,875,2.87764,34,11.9881,19121153501
52.4078,19.0811,92.3077,2,79,50,809,875,2.87764,34,11.9881,19221269680
62.0972,16.1038,92.3077,2,79,50,809,875,2.87764,34,11.9881,19321428108
60.2763,16.5903,92.3077,2,79,50,809,875,2.87764,34,11.9881,19421552787
61.9471,16.1428,92.3077,2,79,50,809,875,2.87764,34,11.9881,19521695686
37.0209,27.0118,92.257,38,79,53,1189,875,2.87382,66,10.2232,19621972434
52.6736,18.9849,92.257,38,79,53,1189,875,2.87382,66,10.2232,19722162843
70.0551,14.2745,92.257,38,79,53,1189,875,2.87382,66,10.2232,19822323392
59.7283,16.7425,92.257,38,79,53,1189,875,2.87382,66,10.2232,19922466440
51.2277,19.5207,92.257,38,79,53,1189,875,2.87382,66,10.2232,20022608629
58.9305,16.9691,96.1857,59,78,53,1526,875,2.8739,88,9.05352,20122720988
56.2828,17.7674,96.1857,59,78,53,1526,875,2.8739,88,9.05352,20222836346
53.782,18.5936,96.1857,59,78,53,1526,875,2.8739,88,9.05352,20322965035
59.5788,16.7845,96.1857,59,78,53,1526,875,2.8739,88,9.05352,20423189764
62.7487,15.9366,96.1857,59,78,53,1526,875,2.8739,88,9.05352,20523321712
70.6249,14.1593,94.1861,60,78,54,1541,875,2.8739,93,8.73832,20623450791
61.1855,16.3437,94.1861,60,78,54,1541,875,2.8739,93,8.73832,20723590709
54.3107,18.4126,94.1861,60,78,54,1541,875,2.8739,93,8.73832,20823711758
73.8894,13.5337,94.1861,60,78,54,1541,875,2.8739,93,8.73832,20923838727
62.7459,15.9373,94.1861,60,78,54,1541,875,2.8739,93,8.73832,21023969455
57.0011,17.5435,98.0456,62,78,55,1617,875,2.8739,103,9.59114,21124076534
60.2698,16.5921,98.0456,62,78,55,1617,875,2.8739,103,9.59114,21224173303
64.5268,15.4974,98.0456,62,78,55,1617,875,2.8739,103,9.59114,21324316661
59.5232,16.8002,98.0456,62,78,55,1617,875,2.8739,103,9.59114,21424426260
60.5177,16.5241,98.0456,62,78,55,1617,875,2.8739,103,9.59114,21524530999
57.1491,17.4981,98.0456,62,78,55,1617,875,2.8739,103,9.59114,21624644687
63.0189,15.8683,98.3845,63,79,55,1683,875,2.8739,107,10.8038,21724824116
68.4856,14.6016,98.3845,63,79,55,1683,875,2.8739,107,10.8038,21824929325
55.8509,17.9048,98.3845,63,79,55,1683,875,2.8739,107,10.8038,21925041203
65.0808,15.3655,98.3845,63,79,55,1683,875,2.8739,107,10.8038,22025152522
58.3122,17.1491,98.3845,63,79,55,1683,875,2.8739,107,10.8038,22125264511
94.0332,10.6345,99.1936,64,80,54,1673,875,2.8739,111,11.4525,22228233910
55.7099,17.9501,99.1936,64,80,54,1673,875,2.8739,111,11.4525,22328344639
97.8029,10.2246,99.1936,64,80,54,1673,875,2.8739,111,11.4525,22428480887
57.7689,17.3104,99.1936,64,80,54,1673,875,2.8739,111,11.4525,22528582496
50.2904,19.8845,99.1936,64,80,54,1673,875,2.8739,111,11.4525,22628702145
61.6111,16.2308,99.3496,57,81,55,1575,875,2.8739,101,11.5777,22728823913
60.8898,16.4231,99.3496,57,81,55,1575,875,2.8739,101,11.5777,22828963982
62.037,16.1194,99.3496,57,81,55,1575,875,2.8739,101,11.5777,22929076630
52.4367,19.0706,99.3496,57,81,55,1575,875,2.8739,101,11.5777,23029172979
50.2696,19.8928,99.3496,57,81,55,1575,875,2.8739,101,11.5777,23129304838
54.6879,18.2856,97.0779,63,81,55,1650,875,2.8739,104,10.5795,23229436856
59.2122,16.8884,97.0779,63,81,55,1650,875,2.8739,104,10.5795,23329573395
